date,mean,median,min,max,std,dataset
2022-06-30,36268.56111111111,2.6,-3.3,1917963.0,179877.96124956384,construction
2022-07-31,36592.644791666666,2.8499999999999996,-2.4,1924328.0,180163.02193317888,construction
2022-08-31,36605.13506944445,2.6,-3.5,1917606.0,179367.00487560828,construction
2022-09-30,36690.56145833333,2.6500000000000004,-5.7,1919931.0,179498.59283903474,construction
2022-10-31,36609.51597222222,2.7,-11.5,1916369.0,179081.38626285203,construction
2022-11-30,36623.25659722222,2.6,-2.0,1918913.0,179228.25295754918,construction
2022-12-31,36676.22222222222,2.4,-15.1,1928393.0,179963.5549853095,construction
2023-01-31,37273.01770833333,2.8,-2.2,1957962.0,182739.39316796762,construction
2023-02-28,37724.377430555556,2.7,-1.7,1976696.0,184399.55641469022,construction
2023-03-31,38456.428125000006,2.6,-2.7,1996401.0,186193.1631320985,construction
2023-04-30,39185.17638888889,2.6,-1.6,2023621.0,188817.22282925152,construction
2023-05-31,39925.00833333333,2.3,-3.6,2054535.0,191589.35145713048,construction
2023-06-30,40393.68541666667,2.3,-6.2,2071559.0,193151.5018632568,construction
2023-07-31,40609.978124999994,2.0,-7.0,2085773.0,194616.96225594205,construction
2023-08-31,41178.368055555555,2.7,-0.2,2108277.0,196686.5157194891,construction
2023-09-30,41386.74444444445,2.5,-3.5,2123480.0,197935.3513860297,construction
2023-10-31,41752.37291666667,2.5,-3.0,2142735.0,199711.39736198977,construction
2023-11-30,42074.01770833333,2.7,-5.8,2167301.0,201943.68214276698,construction
2023-12-31,41999.070138888885,2.7,-4.1,2176796.0,202703.66355692272,construction
2024-01-31,41450.353472222225,2.45,-7.6,2161405.0,201266.01101628706,construction
2024-02-29,41890.549305555556,2.8,-2.4,2184616.0,203253.89886921606,construction
2024-03-31,41953.88923611111,2.8,-3.5,2174863.0,202469.87326984733,construction
2024-04-30,42615.70972222222,3.0,-7.9,2206494.0,205413.19729381462,construction
2024-05-31,42860.601388888885,2.9,-3.9,2215350.0,206283.35569276422,construction
2024-06-30,42729.528125,2.9,-4.7,2199846.0,204979.07758391427,construction
2024-07-31,42824.90833333333,3.1,-6.5,2200746.0,204829.50585290106,construction
2024-08-31,42996.99340277778,3.1,-2.6,2205322.0,205194.15760027934,construction
2024-09-30,42746.02118055555,3.1,-2.9,2197940.0,204378.44594183963,construction
2024-10-31,42681.528819444444,3.1,-4.5,2197116.0,204075.4501823611,construction
2024-11-30,42389.1875,3.1,-4.8,2192932.0,203696.66990754803,construction
2024-12-31,41730.70104166667,3.0,-4.3,2176642.0,202105.17797442805,construction
2025-01-31,41536.57777777778,3.1,-3.7,2169595.0,201407.90527505602,construction
2025-02-28,41473.948958333334,3.2,-1.9,2165431.0,201029.95493991184,construction
2025-03-31,41477.10902777778,3.1500000000000004,-2.4,2150847.0,199591.0307171246,construction
2025-04-30,41720.7625,3.1,-3.6,2153440.0,199750.92583493,construction
2025-05-31,41809.354166666664,2.9,-1.2,2149124.0,199343.0114895951,construction
2025-06-30,41791.41909722222,2.95,-1.8,2140546.0,198537.19872212945,construction
2025-07-31,41783.28923611111,2.9,-1.0,2139110.0,198343.66905044147,construction
2015-01-31,33215.51152413793,7.45,-79.7,1255671.0,125785.21921598545,m3
2015-02-28,33269.486537931036,8.85,-72.0,1251125.0,125495.55064135644,m3
2015-03-31,34038.04072413793,30.15,-23.6,1250259.0,126566.30965155788,m3
2015-04-30,33637.760455172414,7.0,-64.8,1241508.0,125698.36665830157,m3
2015-05-31,33407.86393103449,5.76,-65.4,1227817.0,124674.72812177037,m3
2015-06-30,33924.41151034483,22.05,-18.4,1227999.0,125447.89215227566,m3
2015-07-31,33401.221620689656,4.95,-63.7,1227569.0,124683.187891073,m3
2015-08-31,33305.0856,8.2,-46.1,1218805.0,123978.50849754436,m3
2015-09-30,33149.83904827586,11.55,-753.0,1207218.0,122980.67541499162,m3
2015-10-31,33078.22884827586,6.95,-699.8,1207516.0,122821.28241684806,m3
2015-11-30,32682.574103448278,4.7,-28.2,1205052.0,121989.76723886152,m3
2015-12-31,32532.79948275862,15.45,-64.9,1206154.0,121786.9660086163,m3
2016-01-31,32208.05396551724,7.5,-56.6,1210310.0,121592.69363182322,m3
2016-02-29,32302.010268965518,12.15,-89.3,1204592.0,121392.34955160304,m3
2016-03-31,32809.229441379306,23.0,-32.2,1205066.0,121951.21713669837,m3
2016-04-30,32621.345337931038,5.470000000000001,-62.7,1207046.0,121927.77129085694,m3
2016-05-31,32653.07744827586,6.9,-60.4,1203918.0,122035.20988273155,m3
2016-06-30,32590.11088275862,15.9,-77.2,1190337.0,121183.64190077226,m3
2016-07-31,32089.89791724138,5.29,-64.5,1186998.0,120288.49157321219,m3
2016-08-31,32491.78191034483,14.75,-56.8,1182069.0,120553.56615248138,m3
2016-09-30,32459.517206896555,11.55,-49.6,1177185.0,120090.68380389348,m3
2016-10-31,32607.274400000002,6.0,-42.7,1190585.0,121124.00717119087,m3
2016-11-30,32260.14243448276,5.449999999999999,-73.4,1187293.0,120410.74908486717,m3
2016-12-31,32498.944593103446,17.244999999999997,-51.4,1188478.0,120745.92596973883,m3
2017-01-31,32160.37648275862,7.3,-93.8,1184934.0,120162.1808792469,m3
2017-02-28,32358.332386206897,9.1,-38.4,1184275.0,120376.76030238207,m3
2017-03-31,33073.95117241379,23.65,-38.0,1187393.0,121560.61302741387,m3
2017-04-30,32593.57076551724,4.75,-62.7,1184980.0,120790.19328646031,m3
2017-05-31,32797.01424827586,9.149999999999999,-47.2,1174939.0,120731.29730609705,m3
2017-06-30,33279.35446896552,17.9,-19.3,1187244.0,122289.31559904496,m3
2017-07-31,32505.475496551724,5.199999999999999,-77.7,1181920.0,120806.25040355626,m3
2017-08-31,33024.449372413794,14.7,-41.7,1174841.0,121217.4534846267,m3
2017-09-30,33215.54483448276,12.45,-29.6,1175526.0,121421.23912462585,m3
2017-10-31,33229.2148,6.55,-49.0,1174523.0,121473.71602438489,m3
2017-11-30,33271.121531034485,6.6,-81.0,1171994.0,121594.5589655346,m3
2017-12-31,33517.2566137931,15.95,-19.1,1183833.0,122601.89331571574,m3
2018-01-31,33178.73036551724,7.904999999999999,-93.4,1178733.0,121932.94334996564,m3
2018-02-28,33461.60926206897,9.6,-17.5,1179470.0,122325.08301083585,m3
2018-03-31,34331.62716551724,23.6,-28.4,1191109.0,124208.3965682483,m3
2018-04-30,34030.000441379314,5.0,-69.0,1191264.0,123857.76321548602,m3
2018-05-31,34362.956255172416,7.800000000000001,-14.5,1188926.0,124408.61292282738,m3
2018-06-30,34539.116027586206,15.51,-33.4,1191812.0,124564.80464127849,m3
2018-07-31,34067.243862068965,5.555,-70.9,1187306.0,123641.08049173708,m3
2018-08-31,34639.84730344828,15.125,-30.7,1188869.0,124477.08801770423,m3
2018-09-30,34612.52216551724,9.149999999999999,-24.1,1192854.0,124212.67214616171,m3
2018-10-31,34583.13362068965,7.449999999999999,-62.4,1187856.0,123880.88215364322,m3
2018-11-30,34083.98644137931,4.85,-29.0,1178890.0,122363.29356217774,m3
2018-12-31,34065.960075862065,14.0,-26.1,1178934.0,122219.02217598005,m3
2019-01-31,33809.57264137931,7.949999999999999,-89.1,1174688.0,121683.6605844565,m3
2019-02-28,33789.74875862069,7.55,-2555.0,1163519.0,120956.97502844482,m3
2019-03-31,34522.50995172414,23.950000000000003,-497.9,1166677.0,122025.56692171642,m3
2019-04-30,34119.9494137931,4.75,-2349.0,1156039.0,120937.92329937736,m3
2019-05-31,34007.725917241376,6.05,-7044.0,1135472.0,119776.88884596385,m3
2019-06-30,33813.15233793104,10.55,-3146.0,1119585.0,118430.48599009246,m3
2019-07-31,33518.54803448276,4.15,-428.0,1112151.0,117696.19895813725,m3
2019-08-31,33718.92926896551,11.75,-1022.7,1105676.0,117510.3697533714,m3
2019-09-30,33528.59688275862,8.149999999999999,-1461.0,1098202.0,116547.14783602153,m3
2019-10-31,33456.59235172414,6.105,-118.7,1092083.0,116016.15833183669,m3
2019-11-30,32933.5963862069,3.9,-409.0,1080067.0,114518.14829772864,m3
2019-12-31,32934.319110344826,19.7,-4151.0,1072957.0,113852.95240964879,m3
2020-01-31,32870.344124137926,7.800000000000001,-392.3,1081189.0,114170.9155562064,m3
2020-02-29,33080.85823448276,9.65,-21.8,1091601.0,114777.30271187381,m3
2020-03-31,32538.035365517244,19.5,-6001.0,1083282.0,113070.73050789598,m3
2020-04-30,30810.753489655173,4.23,-4659.0,1072207.0,109989.26563148573,m3
2020-05-31,31193.91462068966,14.3,-495.1,1071895.0,110517.81707565066,m3
2020-06-30,32156.543862068967,28.85,-6130.0,1063694.0,111394.32095588291,m3
2020-07-31,32246.097275862066,9.45,-209.0,1061361.0,111392.64170071245,m3
2020-08-31,32538.091296551727,9.25,-1315.8,1061781.0,111717.88916168814,m3
2020-09-30,32811.5742137931,10.75,-37.0,1064471.0,112266.325142479,m3
2020-10-31,32955.79651034482,6.5,-23.6,1068989.0,112697.01817618248,m3
2020-11-30,32906.70969655173,6.95,-93.8,1074211.0,112867.8609539683,m3
2020-12-31,33379.04543448276,17.55,-35.7,1078561.0,113873.53505969203,m3
2021-01-31,33468.74044827586,8.6,-63.7,1087445.0,114598.06539993518,m3
2021-02-28,33963.04932413793,9.4,-34.4,1104352.0,116256.38344131241,m3
2021-03-31,35089.318682758625,24.5,-25.8,1123545.0,119002.02112960028,m3
2021-04-30,35028.50466896552,5.4,-45.1,1132397.0,119480.19839589615,m3
2021-05-31,35470.447268965516,6.6,-26.9,1141962.0,120950.69467893799,m3
2021-06-30,36314.515158620685,14.7,-31.3,1154946.0,123174.29856376043,m3
