movie_title,original_title,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,title_year,release_date,duration,vote_average,vote_count,popularity,genres,country,original_language,overview,tagline,tmdb_id,imdb_id
iSmart Shankar,ఇస్మార్ట్ శంకర్‌,Puri Jagannadh,Ram Pothineni,Nidhhi Agerwal,Satyadev Kancharana,2100000,9600000,2019,2019-07-18,141,5.118,17,3.524,Action|Science Fiction|Thriller,India,te,A contract killer goes on the run after eliminating a target and eventually finds himself linked to a slain cop whose memory is transferred to his brain.,,609108,tt9558468
Foxtrot Six,Foxtrot Six,Randy Korompis,Oka Antara,Rio Dewanto,Verdi Solaiman,4300000,1369324,2019,2019-02-21,114,6.152,46,3.4178,Action|Science Fiction,Indonesia,en,"Escalating climate change is turning the world economy upside down. With crops dying and food price spiking, FOOD has replaced oil as the world's most valuable commodity.  Among the very few lands still left fertile, Indonesia is quickly rising as the next economic superpower, when its government is suddenly and ruthlessly overtaken by a popular rogue political party.  In just three days, six former Marines must work together, find their long-lost brotherhood, stop a nationwide government- sanctioned genocide, and save millions of lives, for one last shot at redemption. Or die trying.",,491854,tt8948208
Lady and the Tramp,Lady and the Tramp,Charlie Bean,Tessa Thompson,Justin Theroux,Kiersey Clemons,60000000,51000000,2019,2019-11-12,101,7.2,1602,3.403,Family|Romance|Comedy,United States of America,en,"The love story between a pampered Cocker Spaniel named Lady and a streetwise mongrel named Tramp. Lady finds herself out on the street after her owners have a baby and is saved from a pack by Tramp, who tries to show her to live her life footloose and collar-free.",Be loyal. Be brave. Be loved.,512895,tt8096832
Serial (Bad) Weddings 2,Qu'est-ce qu'on a encore fait au Bon Dieu ?,Philippe de Chauveron,Christian Clavier,Chantal Lauby,Ary Abittan,18500000,87761988,2019,2019-01-30,99,5.9,1295,3.3553,Comedy,France,fr,"Claude and Marie Verneuil face a new crisis. The four spouses of their daughters, David, Rachid, Chao and Charles decided to leave France for various reasons. Here they are imagining their lives elsewhere.",,505436,tt6556670
The Professor and the Madman,The Professor and the Madman,Farhad Safinia,Mel Gibson,Sean Penn,Natalie Dormer,25000000,4957273,2019,2019-03-07,124,7.1,1225,3.3543,History|Drama|Mystery|Thriller,France|Ireland,en,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",The incredible true story that defined our world.,411728,tt5932728
Mamangam,മാമാങ്കം,Padmakumar M,Mammootty,Prachi Tehlan,Meghanathan,5831703,11663406,2019,2019-12-12,157,6.405,21,3.3138,Action|War|Thriller|History|Adventure,India,ml,"Based on the medieval fair called Mamankam, which was celebrated every 12 years between 800 AD and 1755 AD, the story of the film is supposedly about a brave warrior of Malabar and his loyal soldiers.",History of the Brave,569106,tt7537738
Ophelia,Ophelia,Claire McCarthy,Daisy Ridley,Naomi Watts,Clive Owen,12000000,242115,2019,2019-06-28,114,7.1,580,3.2043,Drama|Romance|History,United Kingdom|United States of America,en,"Ophelia comes of age as lady-in-waiting for Queen Gertrude, and her singular spirit captures Hamlet's affections. As lust and betrayal threaten the kingdom, Ophelia finds herself trapped between true love and controlling her own destiny.",Hamlet through her eyes.,428836,tt5690810
An Officer and a Spy,J'accuse,Roman Polanski,Jean Dujardin,Louis Garrel,Emmanuelle Seigner,25300000,18878646,2019,2019-09-30,132,7.1,1544,3.0197,History|Drama|Thriller,France|Italy,fr,"In 1894, French Captain Alfred Dreyfus is wrongfully convicted of treason and sentenced to life imprisonment at the Devil’s Island penal colony.",,399121,tt2398149
The Report,The Report,Scott Z. Burns,Adam Driver,Annette Bening,Jon Hamm,8000000,275000,2019,2019-09-12,119,7.042,1081,2.9996,Drama,United States of America,en,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.",Truth matters,524348,tt8236336
Sasha Was Here,Čia buvo Saša,Ernestas Jankauskas,Gabija Siurbytė,Valentin Novopolskij,Markas Eimontas,226885,131500,2019,2019-11-22,95,6.0,8,2.9862,Drama,Finland|Lithuania,lt,"It's a feature-length narrative film about a middle-class couple, that wants to adopt the perfect little girl, but they end up being offered a rebellious 12-year-old boy.",,560739,tt7294844
Wonder Park,Wonder Park,Dylan Brown,Brianna Denski,Norbert Leo Butz,Ken Hudson Campbell,100000000,119559110,2019,2019-03-13,86,6.543,721,2.9229,Comedy|Animation|Adventure|Family|Fantasy,Spain|United States of America,en,"A young girl named June with a big imagination makes an incredible discovery -- the amusement park of her dreams has come to life. Filled with the world's wildest rides operated by fun-loving animals, the excitement never ends. But when trouble hits, June and her misfit team of furry friends begin an unforgettable journey to save the park.",Dream Bigger,400157,tt6428676
The Kid,The Kid,Vincent D'Onofrio,Ethan Hawke,Dane DeHaan,Jake Schur,8000000,1561698,2019,2019-03-08,100,6.0,310,2.8518,Western|Drama|Action,United States of America,en,"New Mexico Territory, 1880. Rio Cutler and his older sister Sara must abandon their home after an unfortunate event happens. In their desperate flee to Santa Fe, they cross paths with the infamous outlaw Billy the Kid and his gang, who are ruthlessly pursued by a posse led by Sheriff Pat Garret.",It only matters the story they tell when you're gone,492565,tt4975920
Queen & Slim,Queen & Slim,Melina Matsoukas,Daniel Kaluuya,Jodie Turner-Smith,Bokeem Woodbine,20000000,47803176,2019,2019-11-27,131,7.136,717,2.807,Crime|Drama|Romance,Canada|United States of America,en,"While on a forgettable first date together in Ohio, a black man and a black woman are pulled over for a minor traffic infraction. The situation escalates, with sudden and tragic results.","Two souls on the run, bound by love and fueled by freedom.",536743,tt8722346
Housefull 4,Housefull 4,Farhad Samji,Akshay Kumar,Bobby Deol,Riteish Deshmukh,18000000,35000000,2019,2019-10-25,142,5.781,89,2.795,Comedy|Drama|Romance,India,hi,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.",,611748,tt7721946
A Hidden Life,A Hidden Life,Terrence Malick,August Diehl,Valerie Pachner,Maria Simon,9000000,4645140,2019,2019-08-27,173,7.157,731,2.7594,History|Drama|War,Germany|United States of America,en,Austrian farmer Franz Jägerstätter faces the threat of execution for refusing to fight for the Nazis during World War II.,Better to suffer injustice than to commit it.,403300,tt5827916
Chhichhore,छिछोरे,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Tahir Raj Bhasin,6825000,29353057,2019,2019-09-05,146,7.639,144,2.6957,Romance|Comedy|Drama,India,hi,Following a group of friends from university as they progress into middle-age life and go their own separate ways.,"Kutte ki dum, tedhi ki tedhi",596650,tt9052870
EXIT,엑시트,Lee Sang-geun,Cho Jung-seok,Yoona,Goh Doo-shim,10892000,69501772,2019,2019-07-31,103,7.652,264,2.6098,Action|Comedy,South Korea,ko,"At his mother's 70th birthday party, Yong-nam runs into Eui-joo, who rejected him in college. When the city is engulfed in toxic gas from a terrorist attack, the two must find a way to escape using all the techniques they learned in their college rock climbing club.",There's no way out.,572164,tt10648440
Child's Play,Child's Play,Lars Klevberg,Mark Hamill,Aubrey Plaza,Gabriel Bateman,10000000,44902237,2019,2019-06-19,90,5.962,1967,2.6081,Horror|Thriller,Canada|United States of America,en,"Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.",More than a toy... he's your best friend.,533642,tt8663516
The Rising Hawk,The Rising Hawk,Akhtem Seitablaiev,Alex MacNicoll,Poppy Drayton,Rocky Myers,2900000,1560697,2019,2019-10-10,110,5.837,141,2.5986,Action|History|Drama,Ukraine|United States of America,en,"During the 13th century, a small village fights for freedom in the frontier landscape of the Carpathian Mountains against Mongolian invaders.",Freedom is my nature.,468816,tt7439064
Maharshi,మహర్షి,Vamsi Paidipally,Mahesh Babu,Pooja Hegde,Allari Naresh,12000000,31562422,2019,2019-05-09,176,7.0,31,2.5292,Drama|Action,India,te,"Rishi Kumar is a billionaire and the CEO of Origins, someone who has always strived for the success he now owns. His friend Ravi needs help, how will he come through?",Join the journey of Rishi,541487,tt8333978
Eye for an Eye,Quien a hierro mata,Paco Plaza,Luis Tosar,María Vázquez,Ismael Martínez,3328289,2407571,2019,2019-08-30,107,6.676,315,2.5204,Drama|Thriller|Crime,Belgium|France,es,"Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans.",,574376,tt7967412
Son of a Rich,Холоп,Klim Shipenko,Miloš Biković,Ivan Okhlobystin,Aleksandra Bortich,2600000,50803834,2019,2019-11-24,109,6.9,175,2.5122,Comedy,Russia,ru,"Grigory, born into an oligarch family, is so spoiled that he believes he's above the law. When he faces jail, his father decides to 'rehabilitate' his son. An abandoned village is reconstructed, 19th century style. Grigory 'goes back in time', reincarnated as a serf, to learn how to appreciate life and to work hard.",From Hero To Zero,575828,tt11418452
While at War,Mientras dure la guerra,Alejandro Amenábar,Karra Elejalde,Eduard Fernández,Santi Prego,4735684,12277353,2019,2019-09-27,108,7.1,292,2.506,Drama|History|War,Argentina|Spain,es,"Salamanca, Spain, 1936. In the early days of the military rebellion that began the Spanish Civil War (1936-39), writer Miguel de Unamuno supports the uprising in the hope that the prevailing political chaos will end. But when the confrontation becomes bloody, Unamuno must question his initial position.",Sometimes silence is the worst lie,542921,tt7818580
The Farewell,The Farewell,Lulu Wang,Zhao Shuzhen,Awkwafina,X Mayo,250300,23076657,2019,2019-07-12,100,7.421,1469,2.4595,Comedy|Drama,China|United States of America,en,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,Based on an actual lie.,565310,tt8637428
Never Grow Old,Never Grow Old,Ivan Kavanagh,Emile Hirsch,John Cusack,Déborah François,12000000,106796,2019,2019-03-15,101,6.029,226,2.4363,Western,Belgium|France,en,"An Irish undertaker profits when outlaws take over a peaceful town, but his own family come under threat as the death toll increases dramatically.",Greed digs the deepest graves,498743,tt1158939
A Madea Family Funeral,A Madea Family Funeral,Tyler Perry,Tyler Perry,Cassi Davis,Patrice Lovely,20000000,74747725,2019,2019-03-01,109,5.944,489,2.424,Comedy,United States of America,en,"A joyous family reunion becomes a hilarious nightmare as Madea and the crew travel to backwoods Georgia, where they find themselves unexpectedly planning a funeral that might unveil unpleasant family secrets.",She puts the fun in funeral.,464504,tt7054636
A Dog's Way Home,A Dog's Way Home,Charles Martin Smith,Ashley Judd,Jonah Hauer-King,Edward James Olmos,18000000,17643857,2019,2019-01-10,96,7.4,1146,2.3997,Drama|Adventure|Family,China|United States of America,en,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.",A lot can happen between lost and found.,508763,tt7616798
Escape Plan: The Extractors,Escape Plan: The Extractors,John Herzfeld,Sylvester Stallone,Dave Bautista,50 Cent,3600000,1766092,2019,2019-06-20,97,5.434,888,2.3833,Action|Thriller|Crime,China|United States of America,en,"After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured. Now he and his team must pull off a deadly rescue mission to confront their sadistic foe and save the hostages before time runs out.",This time it’s personal.,480042,tt6772804
Driving Licence,ഡ്രൈവിംഗ് ലൈസൻസ്,Lal Jr.,Prithviraj Sukumaran,Suraj Venjaramoodu,Miya George,704334,3803406,2019,2019-12-20,135,6.658,38,2.3343,Drama|Thriller|Mystery|Action,India,ml,"A famous actor needs to renew his driver's licence, and the motor vehicle agent is a fan of his, but a series of misunderstandings causes a great deal of friction.",,656858,tt9264336
A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,Marielle Heller,Matthew Rhys,Tom Hanks,Chris Cooper,25000000,67900000,2019,2019-09-07,109,7.0,1671,2.3322,Drama|History|Family,China|United States of America,en,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",Neighbor. Icon. Friend.,501907,tt3224458
Ocean to Sky,Ocean to Sky,Michael Dillon,Edmund Hillary,Peter Hillary,Graeme Dingle,20000000,70049,2019,2019-10-31,106,8.2,2,2.315,Documentary,,en,"Back in 1977, Dillon filmed Hillary and crew (including son Peter Hillary) as they jet boated from the mouth of the Ganges to the base of the Himalayas, then set out to climb peak Akash Parbat. Dillon has remastered existing and unseen footage, and interviewed crew members about Hillary's last big expedition.",How far can an adventure really go?,655978,tt11197384
This Changes Everything,This Changes Everything,Tom Donahue,Alan Alda,Meryl Streep,Sharon Stone,64988,125348,2019,2019-06-28,97,6.225,40,2.265,Documentary,United States of America,en,"An investigative look and analysis of gender disparity in Hollywood, featuring accounts from well-known actors, executives and artists in the Industry.",Voices can't be silenced forever.,541577,tt5795282
Primal,Primal,Nick Powell,Nicolas Cage,Famke Janssen,Kevin Durand,9000000,146863,2019,2019-12-27,97,5.6,395,2.2575,Action|Adventure|Thriller,United States of America,en,"A big-game hunter for zoos books passage on a Greek shipping freighter with a fresh haul of exotic and deadly animals from the Amazon, including a rare white Jaguar – along with a political assassin being extradited to the U.S in secret. Two days into the journey, the assassin escapes and releases the captive animals, throwing the ship into chaos.",The ultimate hunter vs the ultimate predator,500916,tt7394816
Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,Kevin Smith,Jason Mewes,Kevin Smith,Harley Quinn Smith,10000000,1011305,2019,2019-10-15,105,5.7,567,2.2504,Comedy|Action|Adventure,United States of America,en,Jay and Silent Bob embark on a cross-country mission to stop Hollywood from rebooting a film based on their comic book characters Bluntman and Chronic.,Weed love to tell you a story...,440762,tt6521876
Corpus Christi,Boże Ciało,Jan Komasa,Bartosz Bielenia,Aleksandra Konieczna,Eliza Rycembel,1300000,9943901,2019,2019-09-10,116,7.639,569,2.2196,Drama,France|Poland,pl,"A pious 20-year-old juvenile delinquent is sent to work at a sawmill in a small town; on arrival, he dresses up as a priest and accidentally takes over the local parish. The arrival of this young, charismatic preacher is an opportunity for the local community to begin the healing process after a tragedy that happened a year prior.",Sinner. Preacher. A Mystery.,471707,tt8649186
The New King of Comedy,新喜劇之王,Stephen Chow,E Jingwen,Wang Baoqiang,Zhang Quandan,8000000,106618508,2019,2019-02-05,91,5.708,36,2.1799,Comedy,China,cn,A young female actor dreams of becoming famous and building a successful career despite being a stand-in and extra on most sets.,,575138,tt9368628
Kabir Singh,कबीर सिंह,Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Arjan Bajwa,8751000,55478164,2019,2019-06-20,172,6.461,154,2.1739,Drama|Romance,India,hi,"Kabir, a genius yet hostile medical student, falls in love with Preeti from his college. When Preeti's father spots the couple kissing, he opposes their relationship and decides to marry her off.",,577328,tt8983202
Race to Freedom: Um Bok-dong,자전차왕 엄복동,Kim Yoo-sung,Rain,Kang So-ra,Lee Beom-soo,12547000,1091477,2019,2019-02-27,116,6.7,16,2.104,Drama,South Korea,ko,"During the Japanese colonial rule of Korea, while people are in despair, Jae-ho tries to raise morale by winning cycle championship. Bok-dong, who started cycling with Jae-ho just to make a forture, becomes a symbol of hope for Koreans by defeating Japanese cyclists.",,571783,tt9764654
The First King,Il primo re,Matteo Rovere,Alessandro Borghi,Alessio Lapice,Fabrizio Rongione,8000000,2440478,2019,2019-01-31,123,7.107,1116,2.0971,History|Drama,Belgium|Italy,la,"Romulus and Remus, two shepherds and loyal brothers, end up taking part to a journey that will lead one of them to be the founder of the greatest nation ever seen. However, the fate of the chosen one will pass from killing his own brother.","A timeless story of love, blood, and conflict.",565179,tt7278824
The Good Liar,The Good Liar,Bill Condon,Helen Mirren,Ian McKellen,Russell Tovey,10000000,33856058,2019,2019-11-08,109,6.682,1192,2.0738,Crime,Canada|United States of America,en,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.",Read between the lies.,511322,tt5563334
The Shiny Shrimps,Les Crevettes pailletées,Maxime Govare,Nicolas Gob,Alban Lenoir,Geoffrey Couët,3500000,4645750,2019,2019-05-08,103,6.606,448,2.0665,Comedy,France,fr,"Matthias Le Goff, an Olympic champion at the end of his career, makes a homophobic statement on TV. His punishment: coach the Shiny Shrimps, a flamboyant and amateur gay water-polo team. They have only one thing in mind: to qualify for the Gay Games in Croatia where the hottest international LGBT athletes compete. It's the start of a bumpy and joyful ride - Faster, Higher, Stronger.",,532938,tt6918220
Unplanned,Unplanned,Cary Solomon,Ashley Bratcher,Brooks Ryan,Robia LaMorte,6000000,21600000,2019,2019-03-21,109,6.9,212,2.0445,Drama,United States of America,en,"As one of the youngest Planned Parenthood clinic directors in the nation, Abby Johnson was involved in upwards of 22,000 abortions and counseled countless women on their reproductive choices. Her passion surrounding a woman's right to choose led her to become a spokesperson for Planned Parenthood, fighting to enact legislation for the cause she so deeply believed in. Until the day she saw something that changed everything.",What she saw changed everything.,576071,tt9024106
Greed,Greed,Michael Winterbottom,Steve Coogan,David Mitchell,Isla Fisher,5500000,1460431,2019,2019-09-07,100,5.677,161,2.0415,Comedy|Drama,United Kingdom|United States of America,en,A retail billionaire's 60th birthday party is celebrated in an exclusive hotel on the Greek island of Mykonos.,The devil is in the retail.,567598,tt8972256
Overcomer,Overcomer,Alex Kendrick,Alex Kendrick,Priscilla C. Shirer,Cameron Arnett,5000000,38026103,2019,2019-08-22,119,7.724,292,2.0145,Drama,United States of America,en,"After reluctantly agreeing to coach cross-country, high school basketball Coach John Harrison helps the least likely runner attempt the impossible in the biggest race of the year.",What do you allow to define you?,527776,tt8186318
Ardaas Karaan,ਅਰਦਾਸ ਕਰਨ,Gippy Grewal,Gippy Grewal,Meher Vij,Gurpreet Ghuggi,1100000,4165528,2019,2019-07-19,140,6.0,3,1.983,Drama,Canada|India,pa,"During times of conflict, three elderly men try to instill values in their families.",,603552,tt9537346
Beats,Beats,Brian Welsh,Lorn Macdonald,Laura Fraser,Brian Ferguson,25000,310827,2019,2019-05-17,100,6.7,72,1.9808,Drama|Comedy|Music,United Kingdom,en,"Summer 1994, Scotland. Johnno and Spanner are best mates, but Johnno’s family are moving him to a new town and a better life, leaving Spanner behind to face a precarious future. In pursuit of adventure and escape they head out on one last night to an illegal rave before parting ways indefinitely.",,493141,tt7524414
FOMO: Fear of Missing Out,"FOMO: Megosztod, és uralkodsz",Hartung Attila,Yorgos Goletsas,László Panna,Bouquet Gergely,208000,78254,2019,2019-10-10,0,7.0,9,1.9697,Drama,Hungary,hu,"Gergő and his high-school friends, the “Pack”, live for sex, parties and racking up views on their online channel. As their videos grow increasingly extreme, a house party turns tragic when they single out Lilla as their next victim. In a single night, their reckless game shatters the illusion of invulnerability in Budapest’s youth scene.",,636322,tt7718114
Mission Mangal,मिशन मंगल,Jagan Shakti,Vidya Balan,Akshay Kumar,Taapsee Pannu,4571000,41512000,2019,2019-08-15,133,6.691,68,1.9094,Drama|History,India,hi,A team of Indian scientists at ISRO (Indian Space Research Organisation) take on the extraordinary task of successfully sending a satellite into the orbit of planet Mars in a country's maiden attempt.,,611594,tt9248972
Bacurau,Bacurau,Kleber Mendonça Filho,Bárbara Colen,Thomás Aquino,Silvero Pereira,1430000,3554178,2019,2019-08-29,131,7.673,1081,1.9068,Mystery|Western|Thriller,Brazil|France,pt,"Bacurau, a small town in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their community has vanished from most maps.","If you come, come in peace",446159,tt2762506
Odessa,Одесса,Valery Todorovsky,Evgeny Tsyganov,Leonid Yarmolnik,Irina Rozanova,5000000,4000000,2019,2019-09-05,130,5.647,17,1.8879,Comedy|Romance|Drama,Russia,ru,"Odessa, August 1970. A heat wave. The city is full of tourists. Boris, a journalist and foreign affairs specialist, and his eight-year-old son Valeri arrive from Moscow to visit Boris’ in-laws, Grigori Iosifovich and Raisa Irovna Davidov. But on the day of their arrival, Odessa declares a quarantine due to a cholera outbreak, and the city is closed off. Having come for a few days, the son-in-law is plunged into a world changed by serious danger. Family secrets will be disclosed, improbable events happen, and a great forbidden love starts.",,575359,tt10140922
Miss Bala,Miss Bala,Catherine Hardwicke,Gina Rodriguez,Ismael Cruz Cordova,Aislinn Derbez,15000000,15200000,2019,2019-01-25,104,6.4,561,1.8642,Action,Mexico|United States of America,en,"Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength.",Who would you become to save your family?,500852,tt5941692
Don't Let Go,Don't Let Go,Jacob Aaron Estes,David Oyelowo,Storm Reid,Mykelti Williamson,5000000,5300000,2019,2019-08-30,107,6.903,421,1.8421,Horror|Mystery|Science Fiction|Thriller,United States of America,en,"A detective suffering from a personal loss receives a call from his recently deceased niece. Being able to communicate across time, the two work together to try and stop the crime before it occurs.",Change the past. Save her future.,539651,tt6803212
Into the Labyrinth,L'uomo del labirinto,Donato Carrisi,Toni Servillo,Dustin Hoffman,Valentina Bellè,4000000,2514679,2019,2019-10-30,130,6.4,515,1.8136,Thriller|Mystery,Italy,it,"When a kidnapping victim turns up alive after fifteen years, a profiler and a private investigator try to piece together the mystery.",,602545,tt8594376
Motherless Brooklyn,Motherless Brooklyn,Edward Norton,Edward Norton,Bruce Willis,Gugu Mbatha-Raw,26000000,18377736,2019,2019-10-31,145,6.692,1513,1.8125,Drama|Thriller,United States of America,en,"New York City, 1957. Lionel Essrog, a private detective living with Tourette syndrome, tries to solve the murder of his mentor and best friend, armed only with vague clues and the strength of his obsessive mind.",,504562,tt0385887
Blinded by the Light,Blinded by the Light,Gurinder Chadha,Viveik Kalra,Nell Williams,Hayley Atwell,8300000,18144644,2019,2019-08-09,118,6.924,591,1.775,Drama|Comedy,United Kingdom|United States of America,en,"In 1987, during the austere days of Thatcher’s Britain, a teenager learns to live life, understand his family, and find his own voice through the music of Bruce Springsteen.",For anyone who has ever wanted to dream. You're not alone.,534259,tt8266310
Don't Stop Me Now,Ma cosa ci dice il cervello,Riccardo Milani,Paola Cortellesi,Stefano Fresi,Vinicio Marchioni,8000000,5000000,2019,2019-04-18,102,6.333,381,1.7715,Comedy,Italy,it,"Paola, a modern woman used to the hardships of modern life, takes her chance to make things right for herself.",,592336,tt9260446
4x4,4x4,Mariano Cohn,Peter Lanzani,Dady Brieva,Luis Brandoni,3000000,1292773,2019,2019-04-04,87,6.267,144,1.7463,Thriller,Argentina|Spain,es,"Buenos Aires, Argentina. A luxurious van is parked on the sidewalk. A man enters with the purpose of stealing whatever he can find, but when he wants to leave, he cannot. The doors do not open, the control panel does not respond: the van has become an armored box and he is trapped like a mouse.",Welcome aboard,575769,tt8561690
Kölcsönlakás,Kölcsönlakás,Kata Dobó,Balla Eszter,Máté Haumann,Viktor Klem,1645266,757123,2019,2019-02-14,95,5.6,11,1.6638,Romance|Comedy,Hungary,hu,"Balázs and his wife Anikó share their apartment’s renovation schedule with playboy Henrik and his latest girlfriend, while designer András and his admirer pick the same space for a private moment. When everyone shows up on the same chaotic day, secret plans collide: lovers discover each other, the faithful are tempted, and hidden betrayals come to light. Relationships are tested as each couple faces the fallout of overheard conversations and unexpected meetings.",,567224,tt9015746
Abigail,Abigail,Aleksandr Boguslavskiy,Tinatin Dalakishvili,Rinal Mukhametov,Artyom Tkachenko,7000000,1940234,2019,2019-08-22,110,6.1,238,1.651,Adventure|Fantasy|Mystery,Russia,en,"A young girl Abigail lives in a city whose borders were closed many years ago because of an epidemic of a mysterious disease. Abby's father was one of the sick - and he was taken when she was six years old. Going against the authorities to find his father, Abby learns that her city is actually full of magic. And she discovers in herself extraordinary magical abilities.",Discover your hidden power.,575094,tt7025388
Beatrice,Beatrice,Gian Piero Rotoli,Anna Galiena,Gian Piero Rotoli,Marta Gastini,24,21,2019,2019-10-15,0,0.0,0,1.6483,Drama|Comedy,,it,,,1413207,tt8318616
Valhalla,Valhalla,Fenar Ahmad,Roland Møller,Patricia Schumann,Jacob Ulrik Lohmann,5256817,70821,2019,2019-10-10,105,5.263,133,1.6332,Adventure|Fantasy,Denmark|Iceland,da,"The Viking children Røskva and Tjalfe embark on an adventurous journey from Midgard to Valhalla with the gods Thor and Loki. Life in Valhalla, however, turns out to be threatened by the dreaded Fenrir wolf and the god's barbaric archenemies, the Jotnar. Side by side with the gods the two children must fight to save Valhalla from the end of the world - Ragnarok.",Let the journey begin,571655,tt8956872
We Die Young,We Die Young,Lior Geller,Jean-Claude Van Damme,David Castañeda,Joana Metrass,4000000,143837,2019,2019-05-09,93,6.77,339,1.5965,Drama|Action|Crime|Thriller,Bulgaria|United States of America,en,"Lucas, a 14-year-old boy inducted into the gang life in Washington D.C., is determined that his 10-year-old brother won't follow the same path. When an Afghanistan war veteran comes into the neighborhood, an opportunity arises.",Every Life Is Worth Saving.,538207,tt7903530
The Jesus Rolls,The Jesus Rolls,John Turturro,John Turturro,Audrey Tautou,Bobby Cannavale,4500000,64648,2019,2019-10-17,85,4.472,158,1.5961,Comedy|Crime|Drama,United States of America,en,"Hours after his release from prison, Jesus Quintana pairs up with fellow misfits Petey and Marie for a freewheeling joyride of petty crime and romance.",,429416,tt5974030
Seberg,Seberg,Benedict Andrews,Kristen Stewart,Jack O'Connell,Anthony Mackie,8000000,592565,2019,2019-12-13,103,5.9,264,1.5913,Thriller|Drama,United States of America|United Kingdom,en,An ambitious young FBI agent is assigned to investigate iconic actress Jean Seberg when she becomes embroiled in the tumultuous civil rights movement in late 1960s Los Angeles.,Actress. Activist. Adversary.,510298,tt1780967
Antar Al Mufaltar,عنتر المفلتر,Nader Al Hassawi,Tariq Al-Ali,Jamal Al-Radhan,Ahmad Al-Faraj,3000000,3400000,2019,2019-01-01,220,4.5,2,1.5853,Comedy,Kuwait,ar,The events of the Kuwaiti play (Antar Al-Muftlatra) takes place in a comedy mold about a defeated citizen finds himself victim of administrative corruption in one of the government bodies of the state.,,995005,tt34385817
Sin,Il peccato,Andrei Konchalovsky,Alberto Testone,Umberto Orsini,Nicola Adobati,15000000,243043,2019,2019-11-14,134,5.8,77,1.5627,History|Drama,Italy|Russia,it,The life of Michelangelo Buonarroti.,,497835,tt6458228
The Watchman,Сторож,Yury Bykov,Yury Bykov,Vladislav Abashin,Alla Yuganova,860000,53565,2019,2019-10-24,106,6.1,68,1.5469,Drama|Thriller,Russia,ru,"The protagonist Vlad is a man of about forty; he lives and works as watchman in an old sanatorium that is due to be demolished. He obviously needs this work to live the life of a hermit. One night a married couple appears at the sanatorium: Vera and Stas. They are on the run. They are pursued by former friends and business partners of Stas. Vlad decides to help them, because he too is hiding from the past. Each character is threatened with the inevitable payment for wrong choices in the past, but helping each other, they try to expiate these faults.",,575184,tt10310222
Gully Boy,गल्ली बॉय,Zoya Akhtar,Ranveer Singh,Alia Bhatt,Siddhant Chaturvedi,5782853,28299498,2019,2019-02-14,156,7.331,189,1.5332,Drama|Music,India,hi,A coming-of-age story based on the lives of street rappers in Mumbai.,Apna Time Aayega!,491625,tt2395469
Happy Birthday,Fête de famille,Cédric Kahn,Catherine Deneuve,Emmanuelle Bercot,Vincent Macaigne,5350000,2536386,2019,2019-09-04,95,5.6,127,1.5054,Drama|Comedy,France,fr,"A mother of two gathers her loved ones to celebrate her birthday in her big house near the Loire Valley. The festivities are disrupted by the arrival of her daughter, who is known for her unpredictable outbursts.",,505940,tt8080196
