movie_title,original_title,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,title_year,release_date,duration,vote_average,vote_count,popularity,genres,country,original_language,overview,tagline,tmdb_id,imdb_id
Jack of Hearts,Jack of Hearts,Victor Glass,Victor Glass,Destinee Smith,Layali Nahari,105,300,2023,2023-08-19,66,0.0,0,0.0143,Drama|Comedy,,en,A man goes to a bar.,The only card left in the deck...,1187133,
Projections,Proyecciones,Raúl Márquez Ortega,María Gandiaga,Javi Cuadrado,Mateusz Cichon,600,250,2023,2023-05-25,0,0.0,0,0.0143,Romance|Fantasy|Music,Spain,es,"PROJECTIONS is about when we fall in love with someone unknown and we do everything we can to really get to know that person. For our protagonist, this approach will be to write a script for a young actress who plays an old Hollywood star with whom he is in love and doesn't really know anything.",Only parts of us will ever touch parts of others.,1221327,
Picnic,Piknik,Ramazan Arslan,Muhammet Ali Deniz,Sedanur Elikoğlu,Zehra Ayhan,750,100,2023,2023-11-14,20,8.0,1,0.0143,Drama|Crime|Mystery|Thriller,Turkey,tr,"Three brothers, Selma, Emre and Ayşe, went for a little stroll by the river near the city they live in. This is a different trip because Selma and Emre are going to sacrifice their little sister Ayşe, who is deaf and dumb according to their family's traditions and beliefs, on her thirteen birthday. But Emre will try to resist this situation.","""If only she knew where we were taking her ...""",1223522,tt31242829
Lunar New Year,Tet,Phạm Trung Kiên,Hoang Ba Minh,,,12,123,2023,2023-03-03,10,0.0,0,0.0143,Documentary,,en,A boy’s perspective on New Year’s Day.,what time is it?,1224380,
Gizli Hayatım,Gizli Hayatım,Doruk Yankı Alioğlu,Odekan Ekrem Gümüş,Gökhan Ali Gülme,Demir Tunç Dilmen,100,300,2023,2023-09-14,0,0.0,0,0.0143,Thriller|Mystery,Turkey,tr,,,1322690,
Breath of Fresh Air,Bouffée d'air frais,Jacob Baker,Oliver M Dobson,Jacob Baker,,80,345,2023,2023-02-16,7,8.0,2,0.0143,Comedy,United Kingdom,en,"A 21 year old Frenchman, driven insane by the banality of working class life, takes an impromptu trip to the beach.",YOU WOULDN'T FRENCH A NEW WAVE,1127913,
Espacio Vital,Espacio Vital,José Rueda,Javier Ezquerra,Víctor García Salas,Pablo Ezquerra,3000,3000,2023,2023-09-09,0,8.0,1,0.0143,Documentary,,es,,,1391457,tt28551005
an elegy for the memories,elehiya para sa mga memorya,Ryan Capili,,,,1000,1000,2023,2023-03-24,7,0.0,0,0.0143,Documentary,Philippines,tl,"an elegiac rumination on loss of memory. The filmmaker reflects on the experience of seeing his grandmother gradually lose her memory over time by weaving across archives and footages, utilizing the film as a medium for recollections even when they are at their most unsalvageable.",,1065469,
Robin,Robin,Marley Benda,,,,3050,20,2023,2023-07-28,6,0.0,0,0.0143,Drama|Family,,en,Robin discovers something appalling which could drastically change the course of her relationship with her mother.,WHAT HAPPENS WHEN THE TRUTH COMES OUT?,1166711,
Strangers To Betrayal,Strangers To Betrayal,Jesse Gaspar,Toby Sher,Julian munz,Tyler Levy,20,50,2023,2023-08-17,11,0.0,0,0.0143,Crime|Drama,,en,A man is challenged to go against his faith to save his reputation,,1168500,
Pre-Prom,Pre-Prom,Artem Yemelianov,Oleksii Radchenko,,,50,2000,2023,2023-06-16,4,0.0,0,0.0143,Drama,,en,"Classmates gather on the last day of school to watch old footage of their studying years. While watching, they recall the best moments of the past 11 years.","Cry, cry & cry",1135913,
"Safornication, la película","Safornication, la película",,,,,69000,690000,2023,2023-08-04,169,0.0,0,0.0071,Action|Adventure|Comedy|Science Fiction,,es,,,558594,
Strength Trilogy,Trilogia da Força,Bruno Ferreira,Felipe dos Andes,Flavio Provedel,Natane Castro,100,1000,2023,2023-09-15,15,0.0,0,0.0071,Documentary,Brazil,en,"An abstract documentary, in three parts, about the gradual process of an Ayahuasca ritual performed by the Shawãdawa ""enchanted macaw"" indigenous family.",A Qual Família Você Pertence?,953062,
Mannen Henger,Mannen Henger,Christian Søgaard,Elias Jacobsen,Thea Vollebekk,,5000,1330,2023,2023-08-23,0,10.0,1,0.0071,Documentary,Norway,no,,,1248313,tt28779511
IT'S ALL ABOUT ME,IT'S ALL ABOUT ME,Ben Thomas,Ben Thomas,Izaak Thomas,Diwali Cosmica,1000,40000,2023,2023-07-15,55,8.0,1,0.0071,Documentary|Animation,United States of America,en,This film is the culmination of 4 years of therapy and half a year of production. A man focuses on his identity. A meditation on radical acceptance.,one must imagine sisyphus happy,1510662,
Romeo 1980,Romeo 1980,,Hugo hodge,Romeo hodge,,100000,56743,2023,2023-09-23,78,0.0,0,0.0071,Fantasy,,en,A young computer hack in the '80s discovers a cocaine time machine this ensues with monsters and cocaine dealers trying to sell his cocaine time machine a fast and furious billion art film about the '80s and time travel,Traveling by cocaine time machine is just a little faster then HD Wells,1087117,
No to stealing,لا للسرقه,Ibrahem Baha'a,Rayyan Anas,Diaa Baha'a,امير الزرعي,50,51,2023,2023-07-03,2,10.0,1,0.0071,Drama|Crime|Comedy,Jordan,ar,a man helps a little kid find his mother but it turns out that the kid is a slum rat thief,say no to robbery,1254231,
Without You,Tere Bina,Vinod Arjun Shinhmar,Rav Moore,Manorma Joisi,,606,735,2023,2023-06-22,8,0.0,0,0.0071,Drama,United Kingdom,en,A story that focuses on sibling hood and the struggles of their family life and culture. Captivated by an unflinchingly raw and profoundly evocative portrayal of South Asian narratives.,,1191063,
