date,category_code,category_name,value_millions,seasonally_adjusted,source,extraction_timestamp
2015-12-01,441,Motor Vehicle and Parts Dealers,0.5,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,77723.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,78624.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,95535.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,92839.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,96694.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,93909.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,97165.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,97380.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,90323.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,89950.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,83741.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,92855.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,1.2,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,1.1,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,1.1,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,1.1,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
