date,category_code,data_type_code,value_millions,seasonally_adjusted,source,extraction_timestamp
2015-03-01,01XX,E_T,2.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,01XX,E_T,2.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,01XX,E_T,2.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,01XX,E_T,2.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,01XX,E_T,2.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,00XX,MPCV,0.0,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,00XX,MPCV,1.9,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,00XX,MPCV,0.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,00XX,MPCV,-0.3,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,00XX,MPCV,1.3,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,00XX,P,507.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,00XX,P,516.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,00XX,P,575.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,00XX,P,676.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,00XX,P,690.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,00XX,P,566.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,00XX,P,578.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,00XX,P,577.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,00XX,P,612.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,00XX,P,583.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,00XX,P,539.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,00XX,P,509.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,00XX,E_P,5.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,00XX,E_P,5.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,00XX,E_P,5.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,00XX,E_P,6.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,00XX,E_P,6.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,00XX,E_P,5.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,00XX,E_P,5.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,00XX,E_P,5.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,00XX,E_P,5.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,00XX,E_P,5.4,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,00XX,E_P,5.4,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,00XX,E_P,5.4,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,00XX,T,27894.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,00XX,T,28107.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,00XX,T,32916.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,00XX,T,35344.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,00XX,T,37558.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,00XX,T,40507.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,00XX,T,41529.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,00XX,T,41120.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,00XX,T,41028.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,00XX,T,41249.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,00XX,T,37513.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-12-01,00XX,T,33932.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-01-01,00XX,E_T,5.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-02-01,00XX,E_T,5.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-03-01,00XX,E_T,5.7,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-04-01,00XX,E_T,6.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-05-01,00XX,E_T,6.0,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-06-01,00XX,E_T,5.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-07-01,00XX,E_T,5.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,00XX,E_T,5.6,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,00XX,E_T,5.5,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,00XX,E_T,5.4,False,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-08-01,00XX,MPCP,-2.2,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-09-01,00XX,MPCP,3.2,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-10-01,00XX,MPCP,-0.7,True,CENSUS_VIP,2025-10-25 23:13:59.510435
2015-11-01,00XX,MPCP,0.1,True,CENSUS_VIP,2025-10-25 23:13:59.510435
