source,url,published,title,headline_vader,finbert_neg,finbert_neu,finbert_pos,finbert_score,lang,match_metals,match_adjacent_industries
Unknown,https://www.dailymail.co.uk/news/article-15232931/More-1-000-jobs-line-aluminum-smelter-faces-closure-soaring-energy-costs.html,20251028T024500Z,"More than 1 , 000 jobs on the line as aluminium smelter faces closure over soaring energy costs",0.2732,0.9136666059494019,0.07206398993730545,0.014269351027905941,-0.8993972549214959,en,True,True
Unknown,https://www.financialexpress.com/market/stock-insights/3-aluminium-stocks-in-india-to-watch-out-fornbsp/4022876/,20251027T110000Z,3 aluminium stocks in India to watch out for,0.0,0.010511917993426323,0.6082482933998108,0.38123980164527893,0.3707278836518526,en,True,True
Unknown,https://www.livemint.com/economy/core-sector-growth-industry-iip-gdp-steel-infra-refinery-products-electricity-coal-economy-trade-investment-employment-11761540412037.html,20251027T083000Z,Mint Explainer | Slowing core sectors to reverse overall industrial growth trend of Q2,0.3818,0.950571596622467,0.035147108137607574,0.014281307347118855,-0.9362902892753482,en,True,True
Unknown,https://www.abc.net.au/news/2025-10-29/liberty-bell-bay-tasmanian-smelter-sale-speculation/105920136,20251028T191500Z,US private equity firm White Oak eyeing off Tasmania troubled Liberty Bell Bay smelter,0.1027,0.9617903232574463,0.029490793123841286,0.008718871511518955,-0.9530714517459273,en,True,False
Unknown,https://www.canberratimes.com.au/story/9099555/we-need-energy-leader-touts-gas-to-save-smelter-jobs/,20251029T101500Z,  We need energy : leader touts gas to save smelter jobs,0.6369,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.skynews.com.au/business/energy/industry-minister-tim-ayres-blames-coalition-governments-for-high-power-prices-despite-labor-being-in-its-second-term/news-story/75612f4ed3e815fe5af998f86c5bf98c?nk=eb09448a6d28a5c2b993b8d12c895966-1761640340,20251028T084500Z,Industry Minister Tim Ayres blames Coalition governments for high power prices despite Labor being in its second term,-0.4019,0.8880393505096436,0.054636918008327484,0.057323772460222244,-0.8307155780494213,en,True,True
Unknown,https://www.northweststar.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T000000Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.muswellbrookchronicle.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T000000Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.bunburymail.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T013000Z,Major aluminium smelter in talks over possible closure,0.0,0.9247470498085022,0.05647465959191322,0.018778221681714058,-0.9059688281267881,en,True,True
Unknown,https://www.queanbeyanage.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T004500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
